U2,U1,U4,U2,U1,U2,U2,U8,U1,U11,U2,U4,U1,U2,U6,U2,U1,U5,U2,U3,U1,U4,U2,U4,U1,U2,-,-,-,-,-,-
U14,U2,U8,U8,U2,U14,U4,U10,U2,U14,U8,U10,U8,U4,U10,U8,U2,U13,U4,U11,U2,U7,U3,U6,U2,U3,-,-,-,-,-,-
U15,U14,U14,U14,U4,U15,U8,U14,U4,U20,U15,U14,U16,U15,U11,U24,U4,U21,U6,U12,U5,U12,U5,U12,U7,U4,-,-,-,-,-,-
U17,U15,U15,U15,U8,U16,U10,U15,U8,U21,U16,U17,U20,U17,U14,U28,U5,U23,U10,U24,U21,U13,U10,U21,U10,U5,-,-,-,-,-,-
U20,U17,U17,U16,U14,U17,U14,U16,U16,U22,U17,U23,U21,U18,U16,U32,U8,U25,U23,U33,U28,U22,U23,U31,U11,U12,-,-,-,-,-,-
U23,U20,U20,U17,U15,U20,U16,U17,U17,U29,U18,U30,U25,U20,U17,U36,U9,U34,U26,U34,U36,U23,U26,U34,U12,U13,-,-,-,-,-,-
U25,U22,U21,U20,U17,U22,U17,U20,U20,U30,U20,U31,U29,U22,U30,U37,U10,U36,U30,U40,U37,U25,U33,U38,U23,U21,-,-,-,-,-,-
U28,U23,U25,U23,U20,U23,U20,U23,U23,U34,U24,U32,U33,U23,U32,U40,U13,U38,U31,-,U38,U30,U36,U40,U24,U22,-,-,-,-,-,-
U31,U25,U28,U25,U21,U28,U21,U24,U25,U35,U28,U35,U36,U32,U33,-,U14,-,-,-,-,-,U37,-,U28,U23,-,-,-,-,-,-
U38,U29,U38,U29,U23,U30,U25,U29,U35,-,U32,U40,U37,U34,U35,-,U15,-,-,-,-,-,-,-,U30,U25,-,-,-,-,-,-
-,-,-,U30,U29,-,U29,U31,U37,-,U38,-,-,U35,U39,-,U16,-,-,-,-,-,-,-,U36,U26,-,-,-,-,-,-
-,-,-,U31,U35,-,U30,U35,-,-,-,-,-,U38,-,-,U17,-,-,-,-,-,-,-,-,U30,-,-,-,-,-,-
-,-,-,U35,-,-,U35,U38,-,-,-,-,-,U39,-,-,U18,-,-,-,-,-,-,-,-,U33,-,-,-,-,-,-
-,-,-,U38,-,-,U38,-,-,-,-,-,-,-,-,-,U19,-,-,-,-,-,-,-,-,U34,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,U20,-,-,-,-,-,-,-,-,U37,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,U21,-,-,-,-,-,-,-,-,U38,-,-,-,-,-,-
0,0,0,0,0,0,0,11451,12489,0,0,0,0,12924,12713,13164,13116,13516,10349,14173,0,0,0,0,0,0,13535,0,13944,0,0,12413,0,0,13040,0,0,0,13172,0,179999
18.419714285714285,8.912124999999998,13.211333333333334,11.539636363636362,9.564,20.764100000000003,13.5592,8.44231111111111,0,12.876,22.963850000000004,8.416,15.013125,9.30131818181818,14.094666666666667,7.39795,6.7259076923076915,10.92,0,7.186400000000001,13.15693,20.115800000000004,8.927499999999998,19.1616,14.9144,14.011725,0,21.624,10.197599999999998,11.048581818181818,18.927142857142858,5.53,12.327,12.795428571428571,6.516666666666666,9.639314285714287,12.44,12.176,6.007,19.458,0.6670688416434785
-179998999.33293116
2
