U9,U2,U2,U2,U2,U2,U1,U1,U2,U1,U2,U1,U2,U1,U2,U1,U2,U1,U2,U2,U8,U1,U7,U2,U1
U14,U3,U9,U3,U11,U3,U2,U2,U3,U2,U11,U2,U5,U2,U3,U2,U13,U2,U3,U17,U10,U2,U17,U5,U2
U23,U6,U14,U6,U12,U9,U3,U13,U6,U3,U13,U3,U6,U3,U9,U3,U14,U5,U7,U19,U11,U3,U18,U9,U3
U24,U9,U23,U9,U13,U23,U6,U14,U9,U12,U14,U9,U11,U7,U11,U6,U21,U11,U9,U23,U13,U6,U22,U10,U4
U25,U11,U24,U11,U14,U24,U11,U23,U11,U23,U16,U12,U16,U12,U14,U7,U23,U12,U14,U24,U16,U12,U25,U12,U8
U28,U14,U25,U12,U23,U25,U12,U25,U12,U25,U23,U14,U20,U13,U16,U12,U24,U16,U21,U33,U27,U14,U26,U15,U11
U30,U23,U29,U14,U25,U27,U14,U27,U14,U26,U24,U23,U21,U14,U20,U16,U25,U17,U25,U37,U32,U20,U27,U16,U14
U35,U24,U30,U23,U30,U29,U23,U30,U16,U28,U27,U25,U23,U23,U21,U23,U29,U20,U28,U38,U36,U21,U31,U23,U17
U38,U28,U38,U28,U32,U30,U27,U31,U23,U30,U29,U30,U24,U25,U23,U27,U31,U23,U30,-,U39,U30,U36,U28,U20
U39,U30,U39,U30,U34,U34,U28,U34,U24,U31,U30,U33,U27,U26,U25,U30,U33,U26,U31,-,-,U34,U38,U30,U21
-,U39,-,U38,U35,U38,U30,U35,U27,U34,U32,U34,U31,U28,U27,U34,U34,U27,U34,-,-,U40,-,U34,U23
-,-,-,U39,U39,U39,U32,U38,U30,U38,U34,U35,U34,U30,U31,U38,U35,U34,-,-,-,-,-,U35,U24
-,-,-,-,-,-,U34,-,U33,U39,U39,U40,U38,U39,U32,U40,U39,U39,-,-,-,-,-,U39,U27
-,-,-,-,-,-,U39,-,U34,-,-,-,U39,-,U33,-,-,-,-,-,-,-,-,-,U29
-,-,-,-,-,-,-,-,U39,-,-,-,-,-,U34,-,-,-,-,-,-,-,-,-,U33
-,-,-,-,-,-,-,-,U40,-,-,-,-,-,U39,-,-,-,-,-,-,-,-,-,U37
0,0,40,0,0,247,693,0,0,250,0,411,671,221,173,540,293,0,175,0,0,21,0,0,598,0,0,0,0,214,0,239,0,658,0,197,0,44,133,0,0.0075288770870052465
8.888822222222224,5.121999999999998,8.403846153846152,13.325999999999999,17.290000000000003,15.464214285714288,9.927,12.48,13.695359999999999,9.7365,9.820618181818181,8.533,13.440833333333332,8.018437500000001,10.8752,7.6999,6.932,14.639999999999997,22.339199999999998,10.1874,8.628,13.1346,6.93333333333333,13.56368,9.331199999999999,16.288999999999998,7.493933333333334,16.6457625,24.4085,8.509823529411765,10.141228571428572,17.39848,11.1488,5.601399999999999,19.766666666666666,10.539200000000001,18.344,11.5308,7.749799999999999,16.94225,0.6651739828646029
-6.863703104140643
2
