U1,U2,U1,U2,U1,U2,U2,U2,U1,U2,U10,U1,U2,U4,U3,U2,U1,U2,U3,U2,U9,U1,U4,-,-
U2,U4,U2,U4,U2,U8,U4,U10,U2,U4,U11,U2,U5,U5,U8,U5,U9,U4,U5,U4,U11,U2,U7,-,-
U14,U8,U4,U8,U4,U11,U8,U14,U8,U6,U20,U4,U6,U8,U19,U10,U24,U7,U6,U7,U12,U3,U12,-,-
U20,U14,U8,U10,U8,U14,U14,U16,U14,U8,U23,U8,U8,U9,U22,U11,U27,U8,U10,U8,U21,U5,U17,-,-
U22,U16,U14,U14,U10,U16,U16,U20,U18,U14,U28,U9,U9,U21,U28,U12,U34,U12,U12,U17,U25,U8,U29,-,-
U23,U20,U20,U16,U14,U20,U18,U23,U20,U16,U32,U14,U10,U26,U36,U23,U36,U13,U19,U22,U27,U10,U30,-,-
U28,U21,U21,U20,U16,U22,U20,U24,U21,U20,U33,U16,U14,U27,U39,U31,U38,U21,U23,U23,U28,U13,U38,-,-
U31,U23,U22,U23,U20,U23,U21,U30,U23,U22,U36,U18,U16,U30,U40,U33,-,U26,U33,U30,U29,U15,-,-,-
-,U28,U23,U24,U21,U30,U23,U32,U31,U32,U37,U20,U18,U34,-,U37,-,U30,U37,U36,U34,U17,-,-,-
-,U30,U30,U28,U23,U37,U28,U33,U32,U35,U39,U21,U19,U39,-,U39,-,U39,U39,U40,U38,U23,-,-,-
-,U31,U35,U30,U31,-,U32,U35,U34,U39,-,U23,U20,-,-,-,-,-,-,-,U39,U24,-,-,-
-,U35,-,U35,U35,-,U34,U37,U35,U40,-,U24,U21,-,-,-,-,-,-,-,-,U26,-,-,-
-,-,-,-,-,-,U35,-,U36,-,-,U27,U23,-,-,-,-,-,-,-,-,U31,-,-,-
-,-,-,-,-,-,U40,-,-,-,-,U30,U24,-,-,-,-,-,-,-,-,U33,-,-,-
-,-,-,-,-,-,-,-,-,-,-,U31,U26,-,-,-,-,-,-,-,-,U36,-,-,-
-,-,-,-,-,-,-,-,-,-,-,U32,U27,-,-,-,-,-,-,-,-,U37,-,-,-
0,0,0,0,0,0,0,0,0,0,0,0,0,13447,0,13133,0,13510,0,15778,0,0,0,0,0,0,0,0,0,0,0,13758,0,0,13278,0,0,0,0,0,82904
18.676,8.818000000000001,12.952333333333334,11.550763636363637,9.246,20.4771,12.816299999999998,8.25272,9.932799999999997,12.988,22.8059,8.086400000000001,16.6875,9.092681818181816,12.242399999999996,7.215949999999998,7.708799999999999,7.542499999999997,13.4527,7.315966666666665,12.087799999999998,21.1324,8.859250000000003,16.064799999999995,15.5672,12.815775,11.425439999999998,21.3432,13.8264,11.010763636363635,19.295714285714286,3.994999999999998,12.345199999999998,11.289599999999998,6.249999999999998,8.7828,12.418399999999997,13.587200000000001,6.05,15.271999999999997,0.6998287156362154
-82903999.30017129
6
