U14,U14,U20,U20,U20,U20,U20,U20,U20,U20,U20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
U20,U20,U14,U14,U14,U14,U14,U14,U14,U32,U32,-,-,-,-,-,-,-,-,-,-,-,-,-,-
U28,U2,U2,U2,U2,U2,U2,U2,U8,U14,U11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
U2,U23,U23,U23,U23,U23,U23,U23,U34,U8,U33,-,-,-,-,-,-,-,-,-,-,-,-,-,-
U23,U8,U8,U8,U8,U8,U34,U35,U32,U35,U28,-,-,-,-,-,-,-,-,-,-,-,-,-,-
U31,U28,U4,U16,U16,U16,U35,U32,U2,U16,U37,-,-,-,-,-,-,-,-,-,-,-,-,-,-
U1,U4,U21,U28,U21,U37,U28,U24,U36,U6,U34,-,-,-,-,-,-,-,-,-,-,-,-,-,-
U22,U21,U1,U10,U35,U11,U21,U10,U35,U36,U18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,U30,U30,U4,U31,U22,U32,U33,U31,U40,U23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,U16,U35,U35,U10,U30,U18,U37,U18,U39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,U35,U22,U30,U4,-,U16,U16,U23,U22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,U31,-,U24,U1,-,U8,U30,U21,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,U40,-,U1,U10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,U4,-,U39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,U4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11974,12679,9017,12694,11556,9853,6902,13878,12489,11580,8667,8897,6466,14275,1977,13977,3835,10551,10349,16068,13630,9840,12155,13647,2893,11649,13535,9053,3215,14494,12189,14027,11513,10866,14391,12929,11416,7103,13710,11023,0.537690968864823
19.170499999999997,8.905000000000001,0,11.516800000000002,0,20.5128,0,8.53685,0,12.996,23.0165,0,0,9.58715,0,7.832799999999998,0,11.042499999999999,0,7.684181818181819,12.82424,20.9093,8.9662,18.271199999999997,0,0,0,21.278399999999998,0,11.315199999999999,19.8475,4.497999999999999,12.702200000000001,12.2784,6.588749999999999,8.1848,12.754,0,5.039,14.6832,0.47142659803159803
-537.2195422667914
6
