U30,U30,U30,U30,U23,U2,U30,U23,U2,U14,U39,U30,U23,U2,-,-,-,-,-,-,-,-,-,-,-
U4,U19,U10,U5,U40,U7,U21,U17,U29,U13,U35,U31,U31,U31,-,-,-,-,-,-,-,-,-,-,-
U18,U8,U36,U26,U33,U33,U17,U20,U13,U32,U31,U6,U6,U6,-,-,-,-,-,-,-,-,-,-,-
U15,U37,U5,U40,U7,U21,U20,U29,U32,U35,U6,U16,U16,U16,-,-,-,-,-,-,-,-,-,-,-
U22,U10,U26,U33,U21,U17,U29,U13,U35,U31,U16,U3,U3,U3,-,-,-,-,-,-,-,-,-,-,-
U19,U36,U40,U7,U17,U20,U13,U32,U31,U6,U3,U24,U24,U24,-,-,-,-,-,-,-,-,-,-,-
U8,U5,U7,U21,U20,U29,U32,U35,U6,U16,U24,U1,U1,U1,-,-,-,-,-,-,-,-,-,-,-
U37,U26,U33,-,U29,U13,U35,-,-,-,U1,U28,U28,U28,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,U32,-,-,-,-,U28,U25,U25,U25,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,U11,U11,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9758,21645,13306,0,0,0,0,0,34238,0,21793,24149,0,29632,0,3248,0,0,0,0,0,0,27479,16651,20020,0,21602,15065,0,22607,0,0,0,23112,0,0,0,29694,30626,0,0.4718488841267253
10.160799999999998,8.294,13.34,14.382,18.148799999999998,18.348250000000004,13.3218,19.248,0,11.8485,10.8514,0,19.852,11.964,12.404,9.705279999999998,8.251999999999999,19.47,23.2687,12.811125,13.772699999999999,15.245999999999999,10.892800000000001,16.889599999999998,11.505600000000001,21.4136,0,16.7127,24.6995,9.225333333333333,12.9659,19.889319999999998,19.0112,0,22.375000000000004,11.7264,19.18,0,11.033000000000001,21.593,0.7383157791609034
-471.11056834756437
30
